,GLD,IYR,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2016-11-02,123.639999,73.989998,209.740005,46.23,67.870003,19.530001,56.509998,46.709999,52.439999,47.919998,66.650002,77.080002
2016-11-03,124.300003,73.559998,208.779999,46.240002,68.139999,19.549999,56.419998,46.259998,52.080002,48.099998,66.019997,76.879997
2016-11-04,124.389999,73.949997,208.550003,46.400002,67.769997,19.49,56.470001,46.18,51.610001,47.950001,66.480003,76.730003
2016-11-07,122.150002,75.160004,213.149994,47.110001,69.230003,19.98,57.860001,47.18,52.48,48.790001,68.18,78.5
2016-11-08,121.639999,75.620003,214.110001,47.259998,69.32,19.99,58.209999,47.41,52.700001,49.169998,68.370003,78.82
2016-11-09,121.559998,74.220001,216.380005,48.259998,70.449997,20.84,59.669998,47.349998,51.98,47.360001,70.779999,78.980003
2016-11-10,119.75,72.870003,216.919998,48.82,70.75,21.610001,60.939999,46.59,50.59,46.220001,71.559998,79.269997
2016-11-11,117.099998,73.260002,216.419998,48.150002,69.459999,21.67,61.049999,46.73,50.540001,46.029999,70.489998,79.720001
2016-11-14,116.110001,74.5,216.589996,48.259998,69.849998,22.200001,61.310001,46.02,50.450001,46.0,70.269997,79.730003
2016-11-15,117.120003,74.230003,218.279999,48.459999,71.82,22.18,61.540001,46.669998,50.759998,46.740002,70.470001,80.040001
2016-11-16,116.769997,74.07,217.869995,48.369999,71.32,21.860001,61.189999,47.099998,50.77,46.419998,70.169998,80.480003
2016-11-17,116.169998,73.459999,218.990005,48.389999,70.839996,22.16,61.32,47.400002,50.68,46.43,70.449997,81.449997
2016-11-18,115.150002,73.68,218.5,48.32,71.129997,22.16,61.299999,47.360001,50.5,46.290001,69.699997,81.199997
2016-11-21,115.580002,73.690002,220.149994,48.889999,72.82,22.24,61.630001,47.84,50.84,46.779999,69.949997,81.730003
2016-11-22,115.540001,74.949997,220.580002,49.189999,72.779999,22.25,61.91,47.990002,51.099998,46.959999,68.940002,82.699997
2016-11-23,113.25,74.540001,220.699997,49.41,73.080002,22.379999,62.369999,47.799999,50.82,46.490002,69.209999,82.779999
2016-11-25,112.610001,74.919998,221.520004,49.560001,72.720001,22.41,62.709999,48.0,51.220001,47.16,69.480003,82.980003
2016-11-28,113.800003,75.18,220.479996,49.360001,71.709999,22.15,62.279999,48.040001,51.330002,48.07,68.959999,82.32
2016-11-29,113.269997,75.800003,220.910004,49.41,70.830002,22.209999,62.330002,48.07,51.400002,48.27,69.410004,82.540001
2016-11-30,111.75,74.849998,220.380005,49.939999,74.43,22.51,62.41,47.5,50.580002,46.75,68.75,81.849998
2016-12-01,111.540001,73.669998,219.570007,49.959999,74.610001,22.9,62.82,46.52,50.25,46.380001,68.25,81.889999
2016-12-02,112.139999,74.449997,219.679993,49.98,74.830002,22.65,62.810001,46.689999,50.57,46.799999,68.410004,81.440002
2016-12-05,111.540001,75.040001,221.0,50.369999,75.489998,22.92,62.759998,47.139999,50.630001,46.860001,68.290001,82.330002
2016-12-06,111.43,75.519997,221.699997,50.43,75.349998,23.120001,62.880001,47.279999,50.779999,46.77,68.480003,82.519997
2016-12-07,111.830002,76.989998,224.600006,51.150002,75.949997,23.48,64.050003,48.18,51.509998,47.380001,67.889999,84.120003
2016-12-08,111.57,77.379997,225.149994,51.490002,76.360001,23.700001,63.689999,48.299999,51.299999,47.459999,68.019997,84.120003
2016-12-09,110.400002,77.32,226.509995,51.5,76.599998,23.75,63.98,48.650002,52.040001,47.959999,68.849998,84.309998
2016-12-12,110.82,77.800003,226.25,51.27,76.959999,23.52,63.75,48.5,52.25,48.459999,69.18,83.610001
2016-12-13,110.449997,77.800003,227.759995,51.189999,77.830002,23.58,63.66,49.110001,52.490002,48.959999,69.739998,84.360001
2016-12-14,108.830002,76.360001,225.880005,50.580002,76.269997,23.469999,63.02,48.939999,51.919998,47.950001,69.379997,83.790001
2016-12-15,107.339996,75.790001,226.809998,50.91,76.440002,23.67,63.09,49.16,52.139999,48.290001,69.830002,83.589996
2016-12-16,108.050003,76.800003,225.039993,50.419998,76.510002,23.360001,62.580002,48.59,52.049999,48.41,69.580002,82.690002
2016-12-19,108.589996,77.650002,225.529999,50.32,76.160004,23.370001,62.93,48.939999,52.150002,48.59,69.290001,82.910004
2016-12-20,107.790001,77.790001,226.399994,50.360001,75.989998,23.66,63.290001,49.119999,52.049999,48.650002,69.239998,83.57
2016-12-21,107.849998,75.769997,225.770004,50.380001,76.110001,23.6,63.049999,49.02,52.040001,48.450001,68.849998,83.529999
2016-12-22,107.589996,75.629997,225.380005,50.169998,76.419998,23.540001,62.93,48.919998,51.959999,48.619999,68.940002,82.629997
2016-12-23,107.93,75.830002,225.710007,50.27,76.349998,23.58,62.990002,48.970001,52.060001,48.610001,69.459999,82.449997
2016-12-27,108.559998,75.919998,226.270004,50.540001,76.519997,23.610001,63.119999,49.169998,52.049999,48.650002,69.599998,82.769997
2016-12-28,108.860001,75.470001,224.399994,50.029999,75.690002,23.370001,62.459999,48.73,51.73,48.189999,69.07,82.199997
2016-12-29,110.290001,76.220001,224.350006,50.029999,75.540001,23.200001,62.439999,48.740002,51.970001,48.84,69.190002,82.089996
2016-12-30,109.610001,76.940002,223.529999,49.700001,75.32,23.25,62.220001,48.360001,51.709999,48.57,68.940002,81.400002
2017-01-03,110.470001,77.25,225.240005,49.990002,76.169998,23.51,62.59,48.790001,51.900002,48.450001,69.839996,81.879997
2017-01-04,110.860001,78.309998,226.580002,50.720001,76.010002,23.700001,62.959999,48.959999,51.900002,48.630001,70.389999,82.970001
2017-01-05,112.580002,78.580002,226.399994,50.57,75.82,23.459999,62.779999,49.040001,52.07,48.68,70.75,82.910004
